day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;INTARIAN_PEPPER_ROOT;12987;13;;;;;13004;10;;;;;12996;0.0
1;100;INTARIAN_PEPPER_ROOT;13001;12;;;;;13009;14;13012;30;;;13001;0.0
1;200;INTARIAN_PEPPER_ROOT;12981;14;12978;24;;;12998;11;;;;;12989;0.0
1;300;INTARIAN_PEPPER_ROOT;12983;14;12981;25;;;13000;12;13003;30;;;12992;0.0
1;400;INTARIAN_PEPPER_ROOT;12991;15;12989;29;12986;15;13004;29;;;;;12999;0.0
1;500;INTARIAN_PEPPER_ROOT;12983;12;;;;;;;;;;;12991;0.0
1;600;INTARIAN_PEPPER_ROOT;12988;11;12984;29;;;13006;28;;;;;12996;0.0
1;700;INTARIAN_PEPPER_ROOT;12995;15;;;;;13008;12;13011;28;;;13000;0.0
1;800;INTARIAN_PEPPER_ROOT;12992;14;12989;27;;;13008;14;;;;;13000;0.0
1;900;INTARIAN_PEPPER_ROOT;12988;15;12986;22;;;13005;14;13006;27;;;12996;0.0
1;1000;INTARIAN_PEPPER_ROOT;12988;13;12986;22;;;13004;14;13004;30;;;12996;0.0
1;1100;INTARIAN_PEPPER_ROOT;12990;30;12989;10;12984;28;13008;12;13010;22;;;13000;0.0
1;1200;INTARIAN_PEPPER_ROOT;12988;21;12988;29;;;13006;13;13009;26;;;12998;0.0
1;1300;INTARIAN_PEPPER_ROOT;12989;14;12991;22;;;13006;14;;;;;12998;0.0
1;1400;INTARIAN_PEPPER_ROOT;12991;10;;;;;13008;11;13010;30;;;13000;0.0
1;1500;INTARIAN_PEPPER_ROOT;12983;15;;;;;12999;11;;;;;12991;0.0
1;1600;INTARIAN_PEPPER_ROOT;12995;11;;;;;13011;10;13015;25;;;13003;0.0
1;1700;INTARIAN_PEPPER_ROOT;12986;15;12983;23;;;13002;11;13005;23;;;12994;0.0
1;1800;INTARIAN_PEPPER_ROOT;12992;10;;;;;;;;;;;13000;0.0
1;1900;INTARIAN_PEPPER_ROOT;12983;23;12981;20;;;13000;13;13003;28;;;12992;0.0
1;2000;INTARIAN_PEPPER_ROOT;;;;;;;13000;11;13002;26;;;12992;0.0
1;2100;INTARIAN_PEPPER_ROOT;12992;10;12990;24;;;13009;12;;;;;13001;0.0
1;2200;INTARIAN_PEPPER_ROOT;12994;12;12992;29;;;13010;11;;;;;13002;0.0
1;2300;INTARIAN_PEPPER_ROOT;12984;15;12981;27;;;;;;;;;12992;0.0
1;2400;INTARIAN_PEPPER_ROOT;12990;13;12988;30;;;13006;11;13009;27;;;12998;0.0
1;2500;INTARIAN_PEPPER_ROOT;12997;13;;;;;13014;15;13007;23;;;13005;0.0
1;2600;INTARIAN_PEPPER_ROOT;12990;11;12988;30;;;13008;13;13008;27;;;12998;0.0
1;2700;INTARIAN_PEPPER_ROOT;12996;11;;;;;13015;13;13015;25;;;13005;0.0
1;2800;INTARIAN_PEPPER_ROOT;12994;12;;;;;13010;11;13014;27;;;13002;0.0
1;2900;INTARIAN_PEPPER_ROOT;12994;13;12992;28;;;13010;13;13014;25;;;13002;0.0
1;3000;INTARIAN_PEPPER_ROOT;12985;13;;;;;13001;13;;;;;12993;0.0
1;3100;INTARIAN_PEPPER_ROOT;12992;15;12990;29;;;13000;12;13011;28;;;13000;0.0
1;3200;INTARIAN_PEPPER_ROOT;12982;28;12981;24;;;13001;10;13001;23;;;12991;0.0
1;3300;INTARIAN_PEPPER_ROOT;12994;26;;;;;13011;12;;;;;13003;0.0
1;3400;INTARIAN_PEPPER_ROOT;12992;12;12989;26;;;13008;11;13010;28;;;13000;0.0
1;3500;INTARIAN_PEPPER_ROOT;12992;27;12998;24;;;;;;;;;13001;0.0
1;3600;INTARIAN_PEPPER_ROOT;12985;14;12982;21;;;13002;13;13003;21;;;12993;0.0
1;3700;INTARIAN_PEPPER_ROOT;12986;11;12982;30;;;13002;10;13005;13;;;12994;0.0
1;3800;INTARIAN_PEPPER_ROOT;12994;11;12997;30;;;13004;6;;;;;13002;0.0
1;3900;INTARIAN_PEPPER_ROOT;12992;12;;;;;13008;15;13011;28;;;13000;0.0
1;4000;INTARIAN_PEPPER_ROOT;12994;11;12990;21;;;13010;11;13012;25;;;13002;0.0
1;4100;INTARIAN_PEPPER_ROOT;12991;13;12998;26;;;13005;14;13011;26;;;13000;0.0
1;4200;INTARIAN_PEPPER_ROOT;12998;13;;;;;13014;12;;;;;13006;0.0
1;4300;INTARIAN_PEPPER_ROOT;13001;12;12993;20;;;13012;13;13014;21;;;13004;0.0
1;4400;INTARIAN_PEPPER_ROOT;12995;10;12995;22;;;13011;10;13014;28;;;13003;0.0
1;4500;INTARIAN_PEPPER_ROOT;12992;10;;;;;13009;15;13011;24;;;13001;0.0
1;4600;INTARIAN_PEPPER_ROOT;12994;15;12991;20;;;13011;28;13013;26;;;13002;0.0
1;4700;INTARIAN_PEPPER_ROOT;12994;28;;;;;13012;27;;;;;13003;0.0
1;4800;INTARIAN_PEPPER_ROOT;12993;11;;;;;;;;;;;13001;0.0
1;4900;INTARIAN_PEPPER_ROOT;12993;10;;;;;13009;12;;;;;13001;0.0
1;5000;INTARIAN_PEPPER_ROOT;12985;14;;;;;13004;12;13006;26;;;12995;0.0
1;5100;INTARIAN_PEPPER_ROOT;12998;12;12992;24;;;13011;12;13014;23;;;13003;0.0
1;5200;INTARIAN_PEPPER_ROOT;12991;11;12989;22;;;13007;12;13009;25;;;12999;0.0
1;5300;INTARIAN_PEPPER_ROOT;12991;14;12989;26;;;13007;14;13010;21;;;12999;0.0
1;5400;INTARIAN_PEPPER_ROOT;13000;9;12993;27;;;13013;11;13016;24;;;13005;0.0
1;5500;INTARIAN_PEPPER_ROOT;12994;11;;;;;13002;13;13006;26;;;12994;0.0
1;5600;INTARIAN_PEPPER_ROOT;12997;11;12994;25;;;13011;4;;;;;13005;0.0
1;5700;INTARIAN_PEPPER_ROOT;12997;23;12995;21;;;13014;15;13016;23;;;13006;0.0
1;5800;INTARIAN_PEPPER_ROOT;12996;11;12993;25;;;;;;;;;13004;0.0
1;5900;INTARIAN_PEPPER_ROOT;13002;15;12992;28;;;13011;11;13012;20;13018;21;13002;0.0
1;6000;INTARIAN_PEPPER_ROOT;12996;12;;;;;13013;10;;;;;13004;0.0
1;6100;INTARIAN_PEPPER_ROOT;12998;13;12993;10;;;13003;14;;;;;13003;0.0
1;6200;INTARIAN_PEPPER_ROOT;12995;11;;;;;13011;15;;;;;13003;0.0
1;6300;INTARIAN_PEPPER_ROOT;12992;10;12990;20;;;;;;;;;13001;0.0
1;6400;INTARIAN_PEPPER_ROOT;12995;10;12998;26;;;13011;13;13013;30;;;13003;0.0
1;6500;INTARIAN_PEPPER_ROOT;12988;10;12984;21;;;13004;11;13007;23;;;12996;0.0
1;6600;INTARIAN_PEPPER_ROOT;12992;23;12991;27;;;13010;13;;;;;13002;0.0
1;6700;INTARIAN_PEPPER_ROOT;12988;15;;;;;13004;12;;;;;12996;0.0
1;6800;INTARIAN_PEPPER_ROOT;12996;10;12993;21;;;13013;25;13014;22;;;13004;0.0
1;6900;INTARIAN_PEPPER_ROOT;12987;12;12985;29;;;13003;11;13005;28;;;12995;0.0
1;7000;INTARIAN_PEPPER_ROOT;12994;13;12991;10;;;13013;30;;;;;13003;0.0
1;7100;INTARIAN_PEPPER_ROOT;13001;13;12993;20;;;13004;26;13014;24;;;13004;0.0
1;7200;INTARIAN_PEPPER_ROOT;12994;11;12986;28;;;13005;10;;;;;12997;0.0
1;7300;INTARIAN_PEPPER_ROOT;;;;;;;13016;20;13017;21;;;13007;0.0
1;7400;INTARIAN_PEPPER_ROOT;12989;13;;;;;13006;28;;;;;12997;0.0
1;7500;INTARIAN_PEPPER_ROOT;12993;30;;;;;;;;;;;13004;0.0
1;7600;INTARIAN_PEPPER_ROOT;12991;25;12989;23;;;13008;14;;;;;13000;0.0
1;7700;INTARIAN_PEPPER_ROOT;12992;14;;;;;13009;13;;;;;13001;0.0
1;7800;INTARIAN_PEPPER_ROOT;12987;10;12985;25;;;13004;14;;;;;12996;0.0
1;7900;INTARIAN_PEPPER_ROOT;13000;11;12998;24;;;13016;12;;;;;13008;0.0
1;8000;INTARIAN_PEPPER_ROOT;12998;10;12998;21;;;;;;;;;13007;0.0
1;8100;INTARIAN_PEPPER_ROOT;13000;27;;;;;13018;29;;;;;13009;0.0
1;8200;INTARIAN_PEPPER_ROOT;13000;12;13001;24;12993;21;13016;10;13010;23;;;13008;0.0
1;8300;INTARIAN_PEPPER_ROOT;12989;10;12986;20;;;13003;12;13008;22;;;12997;0.0
1;8400;INTARIAN_PEPPER_ROOT;12998;14;;;;;13017;13;;;;;13008;0.0
1;8500;INTARIAN_PEPPER_ROOT;12999;11;;;;;13015;11;;;;;13007;0.0
1;8600;INTARIAN_PEPPER_ROOT;13001;15;;;;;13017;12;13020;28;;;13009;0.0
1;8700;INTARIAN_PEPPER_ROOT;;;;;;;13013;13;13015;30;;;13005;0.0
1;8800;INTARIAN_PEPPER_ROOT;13000;13;12998;26;;;13018;15;13018;21;;;13008;0.0
1;8900;INTARIAN_PEPPER_ROOT;12990;10;12988;29;;;13006;13;13009;24;;;12998;0.0
1;9000;INTARIAN_PEPPER_ROOT;12989;15;12987;20;;;13005;13;;;;;12997;0.0
1;9100;INTARIAN_PEPPER_ROOT;12990;15;12987;20;;;13006;12;;;;;12998;0.0
1;9200;INTARIAN_PEPPER_ROOT;12997;23;12994;27;;;13013;14;13017;24;;;13005;0.0
1;9300;INTARIAN_PEPPER_ROOT;13002;11;13000;25;;;13018;11;13020;21;;;13010;0.0
1;9400;INTARIAN_PEPPER_ROOT;12996;10;12993;28;12990;26;13012;13;;;;;13004;0.0
1;9500;INTARIAN_PEPPER_ROOT;13001;11;12997;20;;;13018;10;;;;;13009;0.0
1;9600;INTARIAN_PEPPER_ROOT;12998;15;12996;21;;;13015;14;13017;12;;;13006;0.0
1;9700;INTARIAN_PEPPER_ROOT;13000;12;;;;;13017;11;13019;21;;;13008;0.0
1;9800;INTARIAN_PEPPER_ROOT;12990;11;12986;27;;;13006;12;13009;29;;;12998;0.0
1;9900;INTARIAN_PEPPER_ROOT;12995;30;12995;15;;;13015;25;13016;25;;;13006;0.0
1;10000;INTARIAN_PEPPER_ROOT;12997;26;12995;23;;;13012;4;13017;23;;;13006;0.0
